Rank,Player,Team,G,REC,TGT,YDS,Y/R,TD,RZ_TGT,FPTS,FPTS/G
1,Ja'Marr Chase,CIN,17,127,175,1708,13.4,11,35,295.8,17.4
2,Justin Jefferson,MIN,17,103,154,1533,14.9,5,25,213.3,12.5
3,Amon-Ra St. Brown,DET,17,115,141,1263,11.0,3,31,186.3,11.0
4,Brian Thomas Jr.,JAC,17,87,133,1282,14.7,0,16,158.2,9.3
5,Terry McLaurin,WAS,17,82,117,1096,13.4,2,14,145.6,8.6
6,Drake London,ATL,17,100,158,1271,12.7,6,24,195.1,11.5
7,Mike Evans,TB,14,74,110,1004,13.6,2,15,132.4,9.5
8,Malik Nabers,NYG,15,109,170,1204,11.0,8,13,196.4,13.1
9,CeeDee Lamb,DAL,15,101,152,1194,11.8,11,16,215.4,14.4
10,A.J. Brown,PHI,13,67,97,1079,16.1,7,12,164.9,12.7
